File Type,File,Applicable Years,Description
Shape File as Zip,https://data.seattle.gov/views/nnxn-434b/files/MNDEv9hJVgydwFH91Ov6rgq0Ibf6lgQwTk9F99Qfkpk?filename=spdbeat_WGS84.zip&content_type=application%2Fzip%3B+charset%3Dbinary,pre 2008,Shapefile for Seattle Police Department Beats - pre 2008 beat boundaries
KMZ,https://data.seattle.gov/views/nnxn-434b/files/dTn_4IfnCSQB18fMaUNSDi0DZhYFOLDpW8gmlwaRyD4?filename=spdbeat_WGS84.kmz&content_type=application%2Fzip%3B+charset%3Dbinary,pre 2008,KMZ file  for Seattle Police Department Beats - pre 2008 beat boundaries
Shape File as Zip,https://data.seattle.gov/views/nnxn-434b/files/X4YxSMYBsG3tj7SwU4dXf1bHkxxFmba7HmrEmMsoZuI?filename=SPD_BEATS_WGS84.zip&content_type=application%2Fzip%3B+charset%3Dbinary,2008+,Shapefile for Seattle Police Department Beats (most current)- redrawn in 2008 beat boundaries
KMZ,https://data.seattle.gov/views/nnxn-434b/files/BDOq2nBZjBqWKj1mUOMyr9YmfsVhSAuFRYasQ0eHWTA?filename=spd_beats_wgs84.kmz&content_type=application%2Fzip%3B+charset%3Dbinary,2008+,KMZ file for Seattle Police Department Beats (most current) - redrawn in 2008 beat boundaries
