Police Beat,CRIME_TYPE,CRIME_DESCRIPTION,STAT_VALUE,REPORT_DATE
C3,Larceny-Theft,Larceny-Theft,19,05/01/2012
C3,Assault,Assault,1,05/01/2012
C3,Robbery,Robbery,1,05/01/2012
C3,Rape,Rape,0,05/01/2012
C3,Homicide,Homicide,0,05/01/2012
C1,Burglary,Burglary,8,05/01/2012
C1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,05/01/2012
C1,Larceny-Theft,Larceny-Theft,24,05/01/2012
C1,Assault,Assault,3,05/01/2012
C1,Robbery,Robbery,1,05/01/2012
C1,Rape,Rape,0,05/01/2012
C1,Homicide,Homicide,0,05/01/2012
M1,Burglary,Burglary,11,04/01/2012
N1,Burglary,Burglary,25,04/01/2012
N1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
N1,Larceny-Theft,Larceny-Theft,43,04/01/2012
N1,Assault,Assault,4,04/01/2012
N1,Robbery,Robbery,2,04/01/2012
N1,Rape,Rape,0,04/01/2012
N1,Homicide,Homicide,0,04/01/2012
C2,Homicide,Homicide,0,04/01/2012
M2,Homicide,Homicide,0,04/01/2012
M2,Rape,Rape,0,04/01/2012
M2,Robbery,Robbery,6,04/01/2012
M2,Assault,Assault,4,04/01/2012
M2,Larceny-Theft,Larceny-Theft,71,04/01/2012
M2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
M2,Burglary,Burglary,8,04/01/2012
E1,Burglary,Burglary,5,04/01/2012
E1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",3,04/01/2012
E1,Larceny-Theft,Larceny-Theft,22,04/01/2012
E1,Assault,Assault,5,04/01/2012
E1,Robbery,Robbery,0,04/01/2012
E1,Rape,Rape,1,04/01/2012
E1,Homicide,Homicide,0,04/01/2012
M3,Homicide,Homicide,0,04/01/2012
M3,Rape,Rape,0,04/01/2012
M3,Robbery,Robbery,1,04/01/2012
M3,Assault,Assault,2,04/01/2012
M3,Larceny-Theft,Larceny-Theft,91,04/01/2012
M3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
M3,Burglary,Burglary,3,04/01/2012
D2,Burglary,Burglary,8,04/01/2012
D2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,04/01/2012
D2,Larceny-Theft,Larceny-Theft,30,04/01/2012
D2,Assault,Assault,1,04/01/2012
D2,Robbery,Robbery,1,04/01/2012
D2,Rape,Rape,0,04/01/2012
D2,Homicide,Homicide,0,04/01/2012
B1,Burglary,Burglary,20,04/01/2012
B1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
B1,Larceny-Theft,Larceny-Theft,22,04/01/2012
B1,Assault,Assault,4,04/01/2012
B1,Robbery,Robbery,3,04/01/2012
B1,Rape,Rape,0,04/01/2012
B1,Homicide,Homicide,0,04/01/2012
C3,Burglary,Burglary,16,04/01/2012
C3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",3,04/01/2012
C3,Larceny-Theft,Larceny-Theft,20,04/01/2012
C3,Assault,Assault,0,04/01/2012
C3,Robbery,Robbery,1,04/01/2012
C3,Rape,Rape,0,04/01/2012
C3,Homicide,Homicide,0,04/01/2012
U1,Burglary,Burglary,15,04/01/2012
C1,Burglary,Burglary,18,04/01/2012
C1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,04/01/2012
C1,Larceny-Theft,Larceny-Theft,32,04/01/2012
C1,Assault,Assault,1,04/01/2012
C1,Robbery,Robbery,0,04/01/2012
C1,Rape,Rape,0,04/01/2012
C1,Homicide,Homicide,0,04/01/2012
U1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,04/01/2012
O2,Burglary,Burglary,16,04/01/2012
O2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,04/01/2012
O2,Larceny-Theft,Larceny-Theft,31,04/01/2012
O2,Assault,Assault,4,04/01/2012
O2,Robbery,Robbery,0,04/01/2012
O2,Rape,Rape,0,04/01/2012
O2,Homicide,Homicide,0,04/01/2012
R1,Burglary,Burglary,6,04/01/2012
R1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",16,04/01/2012
R1,Larceny-Theft,Larceny-Theft,13,04/01/2012
R1,Assault,Assault,5,04/01/2012
R1,Robbery,Robbery,1,04/01/2012
R1,Rape,Rape,0,04/01/2012
R1,Homicide,Homicide,0,04/01/2012
U1,Larceny-Theft,Larceny-Theft,38,04/01/2012
U1,Assault,Assault,1,04/01/2012
U1,Robbery,Robbery,2,04/01/2012
U1,Rape,Rape,0,04/01/2012
U1,Homicide,Homicide,0,04/01/2012
W3,Homicide,Homicide,0,04/01/2012
J3,Burglary,Burglary,14,04/01/2012
J3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,04/01/2012
J3,Larceny-Theft,Larceny-Theft,22,04/01/2012
J3,Assault,Assault,3,04/01/2012
J3,Robbery,Robbery,0,04/01/2012
J3,Rape,Rape,0,04/01/2012
J3,Homicide,Homicide,0,04/01/2012
J2,Burglary,Burglary,14,04/01/2012
J2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,04/01/2012
J2,Larceny-Theft,Larceny-Theft,33,04/01/2012
J2,Assault,Assault,3,04/01/2012
J2,Robbery,Robbery,0,04/01/2012
J2,Rape,Rape,0,04/01/2012
J2,Homicide,Homicide,0,04/01/2012
O1,Burglary,Burglary,6,04/01/2012
O1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,04/01/2012
O1,Larceny-Theft,Larceny-Theft,26,04/01/2012
O1,Assault,Assault,5,04/01/2012
O1,Robbery,Robbery,2,04/01/2012
O1,Rape,Rape,0,04/01/2012
R2,Homicide,Homicide,0,04/01/2012
R2,Rape,Rape,0,04/01/2012
R2,Robbery,Robbery,2,04/01/2012
R2,Assault,Assault,3,04/01/2012
R2,Larceny-Theft,Larceny-Theft,8,04/01/2012
R2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,04/01/2012
R2,Burglary,Burglary,9,04/01/2012
U3,Burglary,Burglary,3,04/01/2012
U3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,04/01/2012
U3,Larceny-Theft,Larceny-Theft,22,04/01/2012
U3,Assault,Assault,4,04/01/2012
U3,Robbery,Robbery,2,04/01/2012
U3,Rape,Rape,0,04/01/2012
U3,Homicide,Homicide,0,04/01/2012
R3,Homicide,Homicide,0,04/01/2012
R3,Rape,Rape,1,04/01/2012
R3,Robbery,Robbery,2,04/01/2012
R3,Assault,Assault,2,04/01/2012
R3,Larceny-Theft,Larceny-Theft,28,04/01/2012
R3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,04/01/2012
R3,Burglary,Burglary,12,04/01/2012
O3,Homicide,Homicide,0,04/01/2012
O3,Rape,Rape,1,04/01/2012
O3,Robbery,Robbery,2,04/01/2012
O3,Assault,Assault,9,04/01/2012
O3,Larceny-Theft,Larceny-Theft,16,04/01/2012
O3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,04/01/2012
O3,Burglary,Burglary,19,04/01/2012
O1,Homicide,Homicide,0,04/01/2012
U2,Burglary,Burglary,11,04/01/2012
U2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",9,04/01/2012
U2,Larceny-Theft,Larceny-Theft,58,04/01/2012
U2,Assault,Assault,1,04/01/2012
U2,Robbery,Robbery,2,04/01/2012
U2,Rape,Rape,0,04/01/2012
U2,Homicide,Homicide,0,04/01/2012
S1,Homicide,Homicide,0,04/01/2012
S1,Rape,Rape,0,04/01/2012
S1,Robbery,Robbery,4,04/01/2012
S1,Assault,Assault,8,04/01/2012
S1,Larceny-Theft,Larceny-Theft,12,04/01/2012
S1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,04/01/2012
S1,Burglary,Burglary,9,04/01/2012
S2,Homicide,Homicide,0,04/01/2012
S2,Rape,Rape,0,04/01/2012
S2,Robbery,Robbery,3,04/01/2012
S2,Assault,Assault,11,04/01/2012
S2,Larceny-Theft,Larceny-Theft,16,04/01/2012
S2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",16,04/01/2012
S2,Burglary,Burglary,22,04/01/2012
J1,Burglary,Burglary,17,04/01/2012
J1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,04/01/2012
J1,Larceny-Theft,Larceny-Theft,27,04/01/2012
J1,Assault,Assault,0,04/01/2012
J1,Robbery,Robbery,1,04/01/2012
J1,Rape,Rape,0,04/01/2012
J1,Homicide,Homicide,0,04/01/2012
S3,Homicide,Homicide,0,04/01/2012
S3,Rape,Rape,0,04/01/2012
S3,Robbery,Robbery,3,04/01/2012
S3,Assault,Assault,8,04/01/2012
S3,Larceny-Theft,Larceny-Theft,20,04/01/2012
S3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,04/01/2012
S3,Burglary,Burglary,15,04/01/2012
W1,Homicide,Homicide,0,04/01/2012
W1,Rape,Rape,0,04/01/2012
W1,Robbery,Robbery,1,04/01/2012
W1,Assault,Assault,2,04/01/2012
W1,Larceny-Theft,Larceny-Theft,22,04/01/2012
W1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,04/01/2012
W1,Burglary,Burglary,16,04/01/2012
B3,Burglary,Burglary,19,04/01/2012
B3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,04/01/2012
B3,Larceny-Theft,Larceny-Theft,25,04/01/2012
B3,Assault,Assault,4,04/01/2012
B3,Robbery,Robbery,2,04/01/2012
B3,Rape,Rape,0,04/01/2012
B3,Homicide,Homicide,0,04/01/2012
W2,Homicide,Homicide,0,04/01/2012
W2,Rape,Rape,0,04/01/2012
W2,Robbery,Robbery,1,04/01/2012
W2,Assault,Assault,3,04/01/2012
W2,Larceny-Theft,Larceny-Theft,30,04/01/2012
W2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,04/01/2012
W2,Burglary,Burglary,11,04/01/2012
F1,Homicide,Homicide,0,04/01/2012
F1,Rape,Rape,0,04/01/2012
F1,Robbery,Robbery,1,04/01/2012
F1,Assault,Assault,2,04/01/2012
F1,Larceny-Theft,Larceny-Theft,18,04/01/2012
F1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,04/01/2012
F1,Burglary,Burglary,15,04/01/2012
N2,Burglary,Burglary,3,04/01/2012
N2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,04/01/2012
N2,Larceny-Theft,Larceny-Theft,23,04/01/2012
N2,Assault,Assault,3,04/01/2012
N2,Robbery,Robbery,1,04/01/2012
N2,Rape,Rape,0,04/01/2012
N2,Homicide,Homicide,0,04/01/2012
G2,Burglary,Burglary,4,04/01/2012
G2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
G2,Larceny-Theft,Larceny-Theft,22,04/01/2012
G2,Assault,Assault,1,04/01/2012
G2,Robbery,Robbery,2,04/01/2012
G2,Rape,Rape,0,04/01/2012
G2,Homicide,Homicide,0,04/01/2012
CITYWIDE,Homicide,Homicide,0,04/01/2012
CITYWIDE,Rape,Rape,2,04/01/2012
CITYWIDE,Robbery,Robbery,2,04/01/2012
CITYWIDE,Assault,Assault,3,04/01/2012
CITYWIDE,Larceny-Theft,Larceny-Theft,15,04/01/2012
CITYWIDE,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
CITYWIDE,Burglary,Burglary,0,04/01/2012
B2,Burglary,Burglary,9,04/01/2012
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
L3,Burglary,Burglary,31,04/01/2012
L3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
L3,Larceny-Theft,Larceny-Theft,28,04/01/2012
L3,Assault,Assault,1,04/01/2012
L3,Robbery,Robbery,0,04/01/2012
L3,Rape,Rape,0,04/01/2012
K3,Burglary,Burglary,2,04/01/2012
K3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
K3,Larceny-Theft,Larceny-Theft,64,04/01/2012
K3,Assault,Assault,2,04/01/2012
K3,Robbery,Robbery,4,04/01/2012
K3,Rape,Rape,0,04/01/2012
K3,Homicide,Homicide,0,04/01/2012
L3,Homicide,Homicide,0,04/01/2012
W3,Rape,Rape,0,04/01/2012
W3,Robbery,Robbery,1,04/01/2012
W3,Assault,Assault,0,04/01/2012
W3,Larceny-Theft,Larceny-Theft,30,04/01/2012
W3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,04/01/2012
W3,Burglary,Burglary,17,04/01/2012
F3,Homicide,Homicide,0,04/01/2012
F3,Rape,Rape,0,04/01/2012
F3,Robbery,Robbery,1,04/01/2012
F3,Assault,Assault,4,04/01/2012
F3,Larceny-Theft,Larceny-Theft,18,04/01/2012
F3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,04/01/2012
K2,Burglary,Burglary,5,04/01/2012
K2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
K2,Larceny-Theft,Larceny-Theft,38,04/01/2012
K2,Assault,Assault,7,04/01/2012
K2,Robbery,Robbery,6,04/01/2012
K2,Rape,Rape,0,04/01/2012
K2,Homicide,Homicide,0,04/01/2012
F3,Burglary,Burglary,9,04/01/2012
B2,Larceny-Theft,Larceny-Theft,21,04/01/2012
B2,Assault,Assault,1,04/01/2012
B2,Robbery,Robbery,2,04/01/2012
B2,Rape,Rape,0,04/01/2012
B2,Homicide,Homicide,0,04/01/2012
E3,Burglary,Burglary,3,04/01/2012
E3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,04/01/2012
E3,Larceny-Theft,Larceny-Theft,22,04/01/2012
E3,Assault,Assault,5,04/01/2012
E3,Robbery,Robbery,4,04/01/2012
E3,Rape,Rape,0,04/01/2012
E3,Homicide,Homicide,0,04/01/2012
L2,Burglary,Burglary,11,04/01/2012
L2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,04/01/2012
L2,Larceny-Theft,Larceny-Theft,39,04/01/2012
L2,Assault,Assault,2,04/01/2012
L2,Robbery,Robbery,0,04/01/2012
L2,Rape,Rape,0,04/01/2012
K1,Burglary,Burglary,1,04/01/2012
K1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,04/01/2012
K1,Larceny-Theft,Larceny-Theft,63,04/01/2012
K1,Assault,Assault,3,04/01/2012
K1,Robbery,Robbery,3,04/01/2012
K1,Rape,Rape,0,04/01/2012
K1,Homicide,Homicide,0,04/01/2012
L2,Homicide,Homicide,0,04/01/2012
F2,Homicide,Homicide,0,04/01/2012
F2,Rape,Rape,0,04/01/2012
F2,Robbery,Robbery,3,04/01/2012
F2,Assault,Assault,2,04/01/2012
F2,Larceny-Theft,Larceny-Theft,31,04/01/2012
F2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,04/01/2012
F2,Burglary,Burglary,6,04/01/2012
Q1,Homicide,Homicide,0,04/01/2012
Q1,Rape,Rape,0,04/01/2012
Q1,Robbery,Robbery,3,04/01/2012
Q1,Assault,Assault,3,04/01/2012
Q1,Larceny-Theft,Larceny-Theft,22,04/01/2012
Q1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
G3,Burglary,Burglary,6,04/01/2012
G3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
G3,Larceny-Theft,Larceny-Theft,20,04/01/2012
G3,Assault,Assault,3,04/01/2012
G3,Robbery,Robbery,2,04/01/2012
G3,Rape,Rape,0,04/01/2012
G3,Homicide,Homicide,0,04/01/2012
Q1,Burglary,Burglary,7,04/01/2012
D3,Burglary,Burglary,5,04/01/2012
D3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
D3,Larceny-Theft,Larceny-Theft,45,04/01/2012
D3,Assault,Assault,1,04/01/2012
D3,Robbery,Robbery,3,04/01/2012
D3,Rape,Rape,0,04/01/2012
D3,Homicide,Homicide,0,04/01/2012
N3,Burglary,Burglary,3,04/01/2012
N3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",9,04/01/2012
N3,Larceny-Theft,Larceny-Theft,55,04/01/2012
N3,Assault,Assault,3,04/01/2012
N3,Robbery,Robbery,5,04/01/2012
N3,Rape,Rape,0,04/01/2012
N3,Homicide,Homicide,0,04/01/2012
Q2,Homicide,Homicide,0,04/01/2012
Q2,Rape,Rape,0,04/01/2012
Q2,Robbery,Robbery,1,04/01/2012
Q2,Assault,Assault,4,04/01/2012
Q2,Larceny-Theft,Larceny-Theft,34,04/01/2012
Q2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,04/01/2012
E2,Burglary,Burglary,1,04/01/2012
E2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,04/01/2012
E2,Larceny-Theft,Larceny-Theft,49,04/01/2012
E2,Assault,Assault,6,04/01/2012
E2,Robbery,Robbery,2,04/01/2012
E2,Rape,Rape,0,04/01/2012
E2,Homicide,Homicide,0,04/01/2012
Q2,Burglary,Burglary,19,04/01/2012
D1,Homicide,Homicide,0,04/01/2012
D1,Rape,Rape,0,04/01/2012
D1,Robbery,Robbery,2,04/01/2012
D1,Assault,Assault,3,04/01/2012
D1,Larceny-Theft,Larceny-Theft,55,04/01/2012
D1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",3,04/01/2012
G1,Burglary,Burglary,6,04/01/2012
G1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,04/01/2012
G1,Larceny-Theft,Larceny-Theft,14,04/01/2012
G1,Assault,Assault,5,04/01/2012
G1,Robbery,Robbery,5,04/01/2012
G1,Rape,Rape,0,04/01/2012
G1,Homicide,Homicide,0,04/01/2012
D1,Burglary,Burglary,9,04/01/2012
L1,Burglary,Burglary,12,04/01/2012
L1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,04/01/2012
L1,Larceny-Theft,Larceny-Theft,41,04/01/2012
L1,Assault,Assault,3,04/01/2012
L1,Robbery,Robbery,1,04/01/2012
L1,Rape,Rape,0,04/01/2012
C2,Burglary,Burglary,4,04/01/2012
C2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,04/01/2012
C2,Larceny-Theft,Larceny-Theft,21,04/01/2012
C2,Assault,Assault,0,04/01/2012
C2,Robbery,Robbery,0,04/01/2012
C2,Rape,Rape,0,04/01/2012
L1,Homicide,Homicide,0,04/01/2012
Q3,Homicide,Homicide,0,04/01/2012
Q3,Rape,Rape,0,04/01/2012
Q3,Robbery,Robbery,1,04/01/2012
Q3,Assault,Assault,5,04/01/2012
Q3,Larceny-Theft,Larceny-Theft,22,04/01/2012
Q3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,04/01/2012
Q3,Burglary,Burglary,5,04/01/2012
M1,Homicide,Homicide,0,04/01/2012
M1,Rape,Rape,0,04/01/2012
M1,Robbery,Robbery,6,04/01/2012
M1,Assault,Assault,3,04/01/2012
M1,Larceny-Theft,Larceny-Theft,36,04/01/2012
M1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,04/01/2012
O1,Homicide,Homicide,0,02/01/2012
O3,Rape,Rape,0,02/01/2012
O3,Robbery,Robbery,0,02/01/2012
O3,Assault,Assault,2,02/01/2012
O3,Larceny-Theft,Larceny-Theft,15,02/01/2012
O3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,02/01/2012
O3,Burglary,Burglary,17,02/01/2012
C1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,02/01/2012
F3,Rape,Rape,0,02/01/2012
F3,Robbery,Robbery,1,02/01/2012
F3,Assault,Assault,2,02/01/2012
F3,Larceny-Theft,Larceny-Theft,26,02/01/2012
F3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,02/01/2012
F3,Burglary,Burglary,6,02/01/2012
S1,Homicide,Homicide,0,02/01/2012
S1,Rape,Rape,0,02/01/2012
S1,Robbery,Robbery,5,02/01/2012
S1,Assault,Assault,4,02/01/2012
S1,Larceny-Theft,Larceny-Theft,17,02/01/2012
S1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,02/01/2012
S1,Burglary,Burglary,9,02/01/2012
U3,Rape,Rape,0,02/01/2012
Q2,Burglary,Burglary,17,02/01/2012
Q2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,02/01/2012
Q2,Larceny-Theft,Larceny-Theft,51,02/01/2012
Q2,Assault,Assault,1,02/01/2012
Q2,Robbery,Robbery,1,02/01/2012
U3,Robbery,Robbery,1,02/01/2012
U3,Assault,Assault,2,02/01/2012
U3,Larceny-Theft,Larceny-Theft,45,02/01/2012
U3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,02/01/2012
U3,Burglary,Burglary,10,02/01/2012
L1,Rape,Rape,1,02/01/2012
L2,Burglary,Burglary,8,02/01/2012
M1,Burglary,Burglary,4,02/01/2012
M1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,02/01/2012
E1,Burglary,Burglary,11,02/01/2012
E1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,02/01/2012
E1,Larceny-Theft,Larceny-Theft,37,02/01/2012
E1,Assault,Assault,4,02/01/2012
E1,Robbery,Robbery,2,02/01/2012
E1,Rape,Rape,0,02/01/2012
E1,Homicide,Homicide,0,02/01/2012
W2,Homicide,Homicide,0,02/01/2012
W2,Rape,Rape,0,02/01/2012
W2,Robbery,Robbery,2,02/01/2012
W2,Assault,Assault,2,02/01/2012
W2,Larceny-Theft,Larceny-Theft,36,02/01/2012
W2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",9,02/01/2012
W2,Burglary,Burglary,12,02/01/2012
M1,Larceny-Theft,Larceny-Theft,30,02/01/2012
M1,Assault,Assault,3,02/01/2012
M1,Robbery,Robbery,1,02/01/2012
M1,Rape,Rape,0,02/01/2012
K1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",0,02/01/2012
J2,Homicide,Homicide,0,02/01/2012
J2,Rape,Rape,0,02/01/2012
J2,Robbery,Robbery,2,02/01/2012
J2,Assault,Assault,10,02/01/2012
J2,Larceny-Theft,Larceny-Theft,44,02/01/2012
J2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,02/01/2012
J2,Burglary,Burglary,8,02/01/2012
K1,Larceny-Theft,Larceny-Theft,95,02/01/2012
K1,Assault,Assault,0,02/01/2012
D2,Burglary,Burglary,9,02/01/2012
D2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",3,02/01/2012
D2,Larceny-Theft,Larceny-Theft,47,02/01/2012
D2,Assault,Assault,4,02/01/2012
D2,Robbery,Robbery,3,02/01/2012
D2,Rape,Rape,0,02/01/2012
D2,Homicide,Homicide,0,02/01/2012
C1,Homicide,Homicide,0,02/01/2012
D1,Burglary,Burglary,14,02/01/2012
D1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,02/01/2012
D1,Larceny-Theft,Larceny-Theft,57,02/01/2012
D1,Assault,Assault,3,02/01/2012
D1,Robbery,Robbery,0,02/01/2012
D1,Rape,Rape,0,02/01/2012
K1,Robbery,Robbery,10,02/01/2012
K1,Rape,Rape,0,02/01/2012
K1,Homicide,Homicide,0,02/01/2012
E2,Burglary,Burglary,5,02/01/2012
L1,Homicide,Homicide,0,02/01/2012
J3,Homicide,Homicide,0,02/01/2012
J3,Rape,Rape,1,02/01/2012
J3,Robbery,Robbery,1,02/01/2012
J3,Assault,Assault,1,02/01/2012
J3,Larceny-Theft,Larceny-Theft,41,02/01/2012
J3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,02/01/2012
J3,Burglary,Burglary,11,02/01/2012
L2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,02/01/2012
L2,Larceny-Theft,Larceny-Theft,36,02/01/2012
C3,Burglary,Burglary,18,02/01/2012
C3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,02/01/2012
C3,Larceny-Theft,Larceny-Theft,20,02/01/2012
C3,Assault,Assault,1,02/01/2012
C3,Robbery,Robbery,0,02/01/2012
C3,Rape,Rape,0,02/01/2012
F1,Homicide,Homicide,0,02/01/2012
C1,Larceny-Theft,Larceny-Theft,19,02/01/2012
Q1,Burglary,Burglary,9,02/01/2012
Q1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,02/01/2012
Q1,Larceny-Theft,Larceny-Theft,21,02/01/2012
Q1,Assault,Assault,0,02/01/2012
Q1,Robbery,Robbery,1,02/01/2012
Q1,Rape,Rape,1,02/01/2012
L2,Assault,Assault,2,02/01/2012
L2,Robbery,Robbery,1,02/01/2012
L2,Rape,Rape,0,02/01/2012
L2,Homicide,Homicide,0,02/01/2012
L1,Burglary,Burglary,13,02/01/2012
O2,Homicide,Homicide,2,02/01/2012
O2,Rape,Rape,0,02/01/2012
F1,Rape,Rape,0,02/01/2012
F1,Robbery,Robbery,1,02/01/2012
F1,Assault,Assault,5,02/01/2012
F1,Larceny-Theft,Larceny-Theft,20,02/01/2012
F1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,02/01/2012
F1,Burglary,Burglary,15,02/01/2012
C3,Homicide,Homicide,0,02/01/2012
C1,Assault,Assault,1,02/01/2012
C1,Robbery,Robbery,0,02/01/2012
C1,Rape,Rape,0,02/01/2012
O2,Robbery,Robbery,1,02/01/2012
J1,Homicide,Homicide,1,02/01/2012
J1,Rape,Rape,0,02/01/2012
